left_anchor,right_anchor,category
Expects to Be Paid For,Always Insists on Splitting Dates,Expectations
Close in Age (+/- 2 Years),Big Age Gap (+/- 8+ Years),Expectations
Virgin,High Body Count,Expectations
Loves Situationships,Needs Clear Labels Immediately,Expectations
Very High Pitch Voice,Deep Resonant Voice,Physical
Height Much Shorter Than You,Much Taller Than You,Physical
Tiny Delicate Frame,Large Powerful Frame,Physical
No Muscle Definition,Bodybuilder Level Muscles,Physical
Body Hair Completely Hairless Body,Very Hairy Body,Physical
Completely Clean Shaven Always,Full Thick Beard Always,Physical
Quiet Breathless Laugh,Booming Belly Laugh,Physical
Square Face,"Round, Circle Face",Physical
Baby Faced Looks Very Young,Looks Much Older Than Age,Physical
Very Veiny Arms,"Pudgey, Smooth Arms",Physical
Extremely Expressive Face,Completely Unreadable Poker Face,Physical
"""Golden Retriever"" Vibe","""Black Cat"" Vibe",Vibes
"Jack of All Trades, Master of None","Master of One, Knows Nothing Else",Vibes
Love Bomber Energy,Emotionally Unavailable Energy,Vibes
Ghosting Is a Communication Style,Closure is a Basic Right,Vibes
Anxious Attachment Energy,Avoidant Attachment Energyy,Vibes
Dates for Potential,Dates for Who They Are Now,Vibes
Constantly in Their Healing Era,Never Need to Heal Energy,Vibes
Doesn't Want Kids Ever,Absolutely Wants Children,Children and Parenting
Wants Kids Very Soon,Kids Are Far Future Maybe,Children and Parenting
Believes in Physical Discipline,Verbal Discipline Only Always,Children and Parenting
Raises Kids Religiously,Raises Kids Completely Secular,Children and Parenting
"Strict, Helicopter Parenting","Free-Range, Permissive Parenting",Children and Parenting
Stay-at-Home Parent Ideal,Both Parents Work Always,Children and Parenting
